#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:51:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589106004be6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/146/131&tab:{J/AJ/146/131/standards}&key:source=J/AJ/146/131/standards&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/146/131/standards
#-order=I
#-out=Name
#-out=N
#-out=<Vmag>
#-out=e_<Vmag>
#-out=<B-V>
#-out=<U-B>
#-out=<V-R>
#-out=<R-I>
#-out=<V-I>
#-out=No
#-out=Nn
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51460131
#Name: J/AJ/146/131
#Title: UBVRI standard stars at +50{deg} declination (Landolt, 2013)
#Table	J_AJ_146_131_standards:
#Name: J/AJ/146/131/standards
#Title: UBVRI photometry of standard stars at Northern Declinations {\em (Table2)}, and at the Celestial Equator {\em (Table3)}, completed with accurate astrometry {\em (Table5)}
#Column	Name	(a12)	Standard star name (G1)	[ucd=meta.id;meta.main]
#Column	N	(A1)	{\bf N} indicates a note on this star	[ucd=meta.ref.url]
#Column	<Vmag>	(F6.3)	Mean V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_<Vmag>	(F7.4)	? Mean error in <Vmag>	[ucd=stat.error;phot.mag;em.opt.V]
#Column	<B-V>	(F6.3)	Mean B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	<U-B>	(F6.3)	Mean U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	<V-R>	(F6.3)	Mean V-R color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	<R-I>	(F6.3)	? Mean R-I color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	<V-I>	(F6.3)	? Mean V-I color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	No	(I2)	Number of times that each star was observed	[ucd=meta.number]
#Column	Nn	(I2)	Number of nights during which a star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A17)	2MASS name (cat. II/246) (JHHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	pmRA	(F6.1)	Proper motion in Right Ascension (1)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	Proper motion in Declination (1)	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(A23)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|N|<Vmag>|e_<Vmag>|<B-V>|<U-B>|<V-R>|<R-I>|<V-I>|No|Nn|RAJ2000|DEJ2000|2MASS|pmRA|pmDE|SimbadName
SA 26-150   |N| 9.506| 0.0006| 1.010| 0.747| 0.539| 0.494| 1.040|10| 5|06 43 37.042|+44 43 20.73|J06433704+4443208|   0.9|  -4.9|2MASS J06433704+4443208
SA 26-58    |N| 8.507| 0.0035| 0.535| 0.047| 0.315| 0.297| 0.612| 4| 2|06 43 38.231|+44 25 11.15|J06433822+4425111|  55.5| -55.9|2MASS J06433822+4425111
SA 26-60    |N| 9.542| 0.0030| 0.125| 0.175| 0.088| 0.069| 0.157| 8| 4|06 43 41.731|+44 30 45.40|J06434172+4430454|   1.7|  -4.3|2MASS J06434172+4430454
SA 26-262   | |13.100| 0.0045| 0.741| 0.253| 0.430| 0.412| 0.842| 6| 3|06 44 05.750|+44 47 22.64|J06440575+4447226|   3.5| -22.5|2MASS J06440575+4447226
SA 26-264   | |15.092| 0.0018| 0.631| 0.097| 0.376| 0.347| 0.715|12| 6|06 44 14.139|+44 46 42.13|J06441414+4446421| -21.7|  -4.8|2MASS J06441414+4446421
SA 26-265   | |14.459| 0.0027| 0.602|-0.066| 0.384| 0.401| 0.792|25|12|06 44 14.929|+44 47 41.53|J06441493+4447416|  38.1| -58.7|2MASS J06441493+4447416
SA 26-268   | |15.366| 0.0073| 1.029| 0.819| 0.615| 0.533| 1.138|10| 5|06 44 19.474|+44 47 35.10|J06441948+4447351|   0.0| -11.7|2MASS J06441948+4447351
SA 26-269   | |14.855| 0.0044| 0.535| 0.062| 0.303| 0.371| 0.672| 3| 2|06 44 21.694|+44 47 43.74|J06442170+4447438|  -2.1|  -5.6|2MASS J06442170+4447438
SA 26-272   | |14.399| 0.0054| 0.919| 0.582| 0.510| 0.465| 1.000| 3| 2|06 44 24.818|+44 46 17.78|J06442481+4446179|   4.3| -30.6|2MASS J06442481+4446179
SA 26-273   | |15.338| 0.0083| 0.722| 0.204| 0.442| 0.356| 0.776| 3| 2|06 44 25.825|+44 48 21.60|J06442582+4448216| -11.9|   8.1|2MASS J06442582+4448216
SA 26-172   |N| 9.580| 0.0010| 0.264| 0.123| 0.144| 0.147| 0.289|12| 6|06 44 31.718|+44 34 05.88|J06443171+4434059|  -1.2| -20.4|2MASS J06443171+4434059
SA 26-278   | |15.360|       | 0.765| 0.167| 0.517| 0.437| 0.950| 1| 1|06 44 32.844|+44 47 18.28|J06443284+4447184|  -8.6|  -0.1|2MASS J06443284+4447184
SA 26-279   | |14.634|       | 0.661| 0.080| 0.401| 0.362| 0.764| 1| 1|06 44 38.232|+44 46 44.95|J06443823+4446450|   1.2|  -3.1|2MASS J06443823+4446450
SA 26-280   | |11.089| 0.0011| 1.082| 0.844| 0.579| 0.537| 1.125|15| 8|06 44 39.784|+44 48 25.64|J06443977+4448257|   1.4|  -9.0|2MASS J06443977+4448257
SA 26-93    |N|11.071| 0.0040| 1.700| 1.772| 1.378| 1.629| 3.001|20|11|06 45 13.215|+44 30 56.56|J06451322+4430562|  -4.5|  -0.8|2MASS J06451322+4430562
SA 26-95    | |11.988| 0.0024| 0.546| 0.016| 0.326| 0.321| 0.644|24|12|06 45 16.159|+44 32 04.67|J06451616+4432045|  -5.3|   0.6|2MASS J06451616+4432045
SA 26-96    | |10.750| 0.0014| 0.548| 0.010| 0.332| 0.331| 0.664| 2| 1|06 45 17.185|+44 27 43.18|J06451718+4427431| -13.0|   1.3|2MASS J06451718+4427431
GD 91       |N|15.069| 0.0045| 0.182|-0.520| 0.037| 0.060| 0.094| 5| 3|08 30 09.451|+45 20 30.39|J08300946+4520303| -95.2|-103.3|2MASS J08300946+4520303
GD 91B      | |13.626| 0.0040| 0.969| 0.838| 0.543| 0.454| 0.993| 5| 3|08 30 10.294|+45 19 10.14|J08301031+4519099| -21.4| -12.2|2MASS J08301031+4519099
GD 91A      | |12.437| 0.0013| 1.018| 0.767| 0.532| 0.504| 1.037| 5| 3|08 30 16.361|+45 19 50.28|J08301637+4519501|  -1.0|  -3.6|2MASS J08301637+4519501
PG 0837+401B|N|13.702| 0.0127| 0.710| 0.163| 0.424| 0.402| 0.820| 7| 4|08 40 58.400|+39 56 27.82|J08405839+3956278|   5.0|  -8.1|2MASS J08405839+3956278
PG 0837+401C| |12.181| 0.0015| 0.556| 0.021| 0.338| 0.346| 0.685| 7| 4|08 41 00.157|+39 55 54.49|J08410015+3955545|   3.2| -14.5|2MASS J08410015+3955545
PG 0837+401 |N|15.506| 0.0049|-0.245|-0.986|-0.136|-0.262|-0.396|11| 5|08 41 01.307|+39 56 18.13|J08410129+3956181|   9.0|  -2.1|2MASS J08410129+3956181
PG 0837+401A| |14.752| 0.0025| 0.922| 0.747| 0.536| 0.472| 1.016|11| 5|08 41 04.495|+39 57 05.65|J08410449+3957056| -20.0| -25.7|2MASS J08410449+3957056
KUV 345-30A | |14.619| 0.0018| 0.627| 0.072| 0.365| 0.366| 0.730| 5| 2|08 43 09.810|+39 46 15.09|J08430981+3946151|   8.3| -11.0|2MASS J08430981+3946151
KUV 345-30  |N|14.324| 0.0025|-0.279|-1.127|-0.121|-0.141|-0.263| 4| 2|08 43 12.709|+39 44 49.73|J08431271+3944498|  -3.5| -10.7|2MASS J08431271+3944498
PG 0846+558B| |14.799|       | 0.745| 0.142| 0.424| 0.416| 0.842| 1| 1|08 49 41.020|+55 36 08.52|J08494100+5536085| -14.0| -14.5|2MASS J08494100+5536085
PG 0846+558A| |14.691|       | 0.842| 0.396| 0.467| 0.455| 0.923| 1| 1|08 49 42.276|+55 34 45.17|J08494226+5534452| -16.5| -30.7|2MASS J08494226+5534452
PG 0846+558 |N|16.435|       |-0.207|-1.043|-0.073| 0.051|-0.026| 1| 1|08 49 51.084|+55 35 14.94|                 |  12.0| -16.0|PG 0846+557
GD 98B      | |14.001| 0.0006| 0.630| 0.115| 0.359| 0.346| 0.708|16| 8|08 57 09.788|+40 18 35.13|J08570978+4018351|  13.0| -11.1|2MASS J08570978+4018351
GD 98A      | |13.461| 0.0010| 0.920| 0.619| 0.508| 0.472| 0.979|24|12|08 57 17.818|+40 17 53.92|J08571781+4017539|  -2.3|  -7.9|2MASS J08571781+4017539
GD 98       |N|14.823| 0.0005|-0.126|-0.931|-0.112|-0.116|-0.233|26|12|08 57 30.443|+40 16 12.62|J08573043+4016130|  23.0|-198.0|2MASS J08573043+4016130
GD 299      |N|12.093| 0.0028|-0.269|-1.158|-0.085|-0.078|-0.168|12| 6|09 38 20.351|+55 05 50.08|J09382033+5505500|   2.0| -69.7|2MASS J09382033+5505500
SA 29-153   |N| 8.790| 0.0022| 1.111| 1.089| 0.570| 0.505| 1.071|10| 5|09 41 34.127|+44 12 25.37|J09413413+4412253| -19.4| -27.9|2MASS J09413413+4412253
SA 29-157   | |11.291| 0.0014| 0.812| 0.450| 0.449| 0.427| 0.874|18| 9|09 42 01.262|+44 11 46.38|J09420127+4411464|   1.2| -15.6|2MASS J09420127+4411464
SA 29-350   | |10.295| 0.0007| 0.478|-0.006| 0.285| 0.275| 0.563|19| 9|09 42 08.386|+44 32 57.10|J09420840+4432570| -37.5|  -9.4|2MASS J09420840+4432570
SA 29-22    | |10.474| 0.0006| 0.565| 0.108| 0.324| 0.299| 0.630|16| 8|09 42 49.281|+43 49 35.75|J09424930+4349356|  -9.8| -18.0|2MASS J09424930+4349356
SA 29-24    |N| 9.590| 0.0010| 0.549| 0.015| 0.323| 0.318| 0.645|14| 7|09 42 58.482|+43 50 04.87|J09425847+4350050|  -1.5| -40.1|2MASS J09425847+4350050
SA 29-303   |N| 8.292| 0.0040| 0.602| 0.174| 0.344| 0.329| 0.674| 4| 4|09 44 53.037|+44 25 07.54|J09445303+4425076|   7.5|  -8.3|2MASS J09445303+4425076
SA 29-322   |N| 9.766| 0.0004| 0.488| 0.030| 0.285| 0.262| 0.560|14| 7|09 46 31.722|+44 22 32.87|J09463173+4422328| -33.0| -45.4|2MASS J09463173+4422328
SA 29-324   | |11.304| 0.0005| 1.117| 1.075| 0.582| 0.516| 1.097|21|11|09 46 53.607|+44 25 05.72|J09465360+4425057|  -2.8|  -2.6|2MASS J09465360+4425057
PG 0943+521A| |14.497|       | 0.916| 0.624| 0.573| 0.512| 1.089| 1| 1|09 47 03.487|+51 55 09.32|J09470348+5155093| -77.5| -52.5|2MASS J09470348+5155093
SA 29-327   | |12.133| 0.0007| 0.803| 0.384| 0.458| 0.428| 0.893|23|12|09 47 04.537|+44 22 31.17|J09470453+4422312| -25.1| -21.3|2MASS J09470453+4422312
SA 29-399   | |13.111| 0.0017| 0.638| 0.125| 0.357| 0.351| 0.705|17| 9|09 47 05.253|+44 41 02.64|J09470524+4441025| -11.0|  -5.6|2MASS J09470524+4441025
SA 29-400   | |14.019| 0.0015| 0.900| 0.510| 0.503| 0.489| 0.987| 6| 3|09 47 08.212|+44 40 07.66|J09470820+4440075|  -4.7| -13.7|2MASS J09470820+4440075
PG 0943+521 |N|15.123|       | 0.211|-0.983| 0.214| 0.277| 0.494| 1| 1|09 47 11.942|+51 54 08.91|J09471193+5154089|  32.6|  -5.9|2MASS J09471193+5154089
SA 29-402   | |13.875| 0.0019| 0.863| 0.610| 0.468| 0.403| 0.875| 5| 3|09 47 16.900|+44 38 20.30|J09471689+4438201|   2.8| -12.2|2MASS J09471689+4438201
SA 29-404   | |13.075|       | 0.800| 0.501| 0.433| 0.373| 0.811| 1| 1|09 47 19.809|+44 40 26.74|J09471979+4440266|  -7.5| -23.8|2MASS J09471979+4440266
SA 29-331   | |10.001| 0.0006| 0.943| 0.634| 0.504| 0.475| 0.976|21|10|09 47 19.945|+44 24 28.55|J09471994+4424286|  -4.7|   0.3|2MASS J09471994+4424286
SA 29-405   | |15.431|       | 0.791| 0.412| 0.478| 0.462| 0.942| 1| 1|09 47 20.158|+44 41 08.31|J09472015+4441082|  -0.4| -31.6|2MASS J09472015+4441082
SA 29-251   |N| 9.445| 0.0004| 0.349|-0.001| 0.219| 0.220| 0.443|15| 7|09 47 21.715|+44 14 13.96|J09472171+4414139| -35.7| -16.4|2MASS J09472171+4414139
SA 29-406   | |14.127| 0.0007| 1.239| 1.235| 0.765| 0.689| 1.447| 5| 3|09 47 24.345|+44 39 43.93|J09472433+4439438| -16.2| -10.4|2MASS J09472433+4439438
SA 29-407   | |14.531| 0.0084| 0.524|-0.034| 0.325| 0.345| 0.654| 5| 3|09 47 24.351|+44 37 56.67|J09472434+4437565|   0.3|  -4.2|2MASS J09472434+4437565
SA 29-408   | |13.113| 0.0021| 0.484|-0.056| 0.304| 0.319| 0.624| 3| 2|09 47 25.926|+44 41 34.07|J09472591+4441340|   3.3|  -2.8|2MASS J09472591+4441340
SA 29-409   | |13.684| 0.0090| 0.510| 0.025| 0.306| 0.309| 0.616| 3| 2|09 47 30.510|+44 40 00.42|J09473049+4440003|  -0.2|  -4.0|2MASS J09473049+4440003
GD 300B     | |12.773| 0.0010| 0.662| 0.158| 0.375| 0.367| 0.749|17| 8|09 55 01.207|+51 39 58.80|J09550120+5139587|  -5.6|   2.7|2MASS J09550120+5139587
GD 300      |N|12.662| 0.0022|-0.321|-1.231|-0.139|-0.175|-0.315|25|13|09 55 19.466|+51 36 59.03|J09551945+5136590| -76.9| -95.7|2MASS J09551945+5136590
GD 300A     | |12.985| 0.0019| 0.681| 0.181| 0.392| 0.371| 0.763|19| 9|09 55 34.484|+51 36 41.97|J09553447+5136419| -15.1|  -8.2|2MASS J09553447+5136419
KUV 348-07  |N|15.546| 0.0007| 0.065|-0.901| 0.252| 0.560| 0.826| 5| 2|09 56 52.394|+41 15 22.10|J09565240+4115221| -20.1|  24.3|2MASS J09565240+4115221
KUV 348-07A | |13.992| 0.0012| 0.482|-0.163| 0.322| 0.327| 0.653| 4| 2|09 56 57.179|+41 16 49.89|J09565719+4116499| -14.2|  10.8|2MASS J09565719+4116499
KUV 348-07B | |14.545| 0.0007| 0.794| 0.346| 0.459| 0.433| 0.900| 4| 2|09 56 58.396|+41 13 03.63|J09565839+4113037|  13.7|  -7.3|2MASS J09565839+4113037
KUV 348-13B | |14.697| 0.0028| 0.699| 0.118| 0.408| 0.441| 0.848| 2| 1|10 03 53.506|+40 32 01.93|J10035351+4032020| -25.2| -14.7|2MASS J10035351+4032020
KUV 348-13  |N|13.318| 0.0013|-0.330|-1.069|-0.147|-0.178|-0.313| 4| 2|10 03 54.276|+40 34 18.10|J10035428+4034182|  -1.7| -15.9|2MASS J10035428+4034182
KUV 348-13A | |12.497| 0.0049| 0.646| 0.159| 0.364| 0.356| 0.720| 2| 1|10 04 06.316|+40 35 25.49|J10040632+4035254|  -3.1|   3.9|2MASS J10040632+4035254
KUV 348-14A | |13.651| 0.0006| 0.515|-0.045| 0.306| 0.309| 0.615| 3| 1|10 05 06.918|+38 47 14.14|J10050693+3847143|  -3.1|  -4.8|2MASS J10050693+3847143
KUV 348-14  |N|14.336| 0.0028|-0.046|-0.223|-0.024|-0.032|-0.050| 5| 2|10 05 09.884|+38 46 15.14|J10050988+3846151|  -5.2|  -5.4|2MASS J10050988+3846151
KUV 348-14B | |14.425| 0.0071| 0.621| 0.075| 0.355| 0.366| 0.721| 2| 1|10 05 17.296|+38 47 35.05|J10051730+3847352| -14.7| -19.0|2MASS J10051730+3847352
KUV 348-14C | |15.141| 0.0071| 0.658| 0.118| 0.346| 0.367| 0.712| 2| 1|10 05 18.521|+38 48 11.44|J10051852+3848115|  -1.5| -13.3|2MASS J10051852+3848115
GD 111A     | |14.291|       | 0.723| 0.241| 0.409| 0.381| 0.792| 1| 1|10 05 45.210|+42 46 49.44|J10054520+4246494| -20.4|   7.9|2MASS J10054520+4246494
GD 111      |N|16.155| 0.0078|-0.099|-0.864|-0.029|-0.220|-0.241| 2| 1|10 05 48.965|+42 48 03.14|J10054904+4248036|-142.0| -56.0|2MASS J10054904+4248036
GD 111B     | |13.149|       | 0.761| 0.289| 0.420| 0.417| 0.838| 1| 1|10 06 02.757|+42 45 43.10|J10060274+4245430|  34.0|  -1.9|2MASS J10060274+4245430
GD 310      |N|15.009| 0.0010|-0.178|-1.002|-0.116|-0.139|-0.250|16| 8|11 29 10.923|+38 08 51.64|J11291092+3808515| -98.1|  -6.8|2MASS J11291092+3808515
PG 1126+469B| |12.727|       | 0.584| 0.048| 0.328| 0.336| 0.668| 1| 1|11 29 14.264|+46 34 22.59|J11291427+4634226| -25.0| -52.9|2MASS J11291427+4634226
GD 310C     | |13.911| 0.0017| 0.892| 0.668| 0.496| 0.426| 0.924|15| 8|11 29 25.990|+38 06 12.01|J11292598+3806120|  18.7|  -5.5|2MASS J11292598+3806120
PG 1126+469 |N|14.574|       |-0.136|-0.686|-0.073|-0.081|-0.147| 1| 1|11 29 28.671|+46 35 31.75|J11292866+4635317| -11.0|   2.7|2MASS J11292866+4635317
GD 310A     | |14.057| 0.0012| 0.540|-0.073| 0.341| 0.356| 0.698|15| 8|11 29 29.898|+38 09 14.09|J11292989+3809141|  -9.8| -14.5|2MASS J11292989+3809141
GD 310B     | |14.200| 0.0013| 0.978| 0.832| 0.595| 0.541| 1.137|16| 8|11 29 35.454|+38 08 12.60|J11293545+3808126|  -5.3|  -6.7|2MASS J11293545+3808126
PG 1126+469A| |12.770|       | 0.639| 0.149| 0.365| 0.350| 0.720| 1| 1|11 29 36.579|+46 35 44.99|J11293657+4635448|   5.6| -19.3|2MASS J11293657+4635448
KUV 352-09  |N|12.967| 0.0014|-0.146|-0.646|-0.065|-0.075|-0.154| 7| 3|11 36 24.386|+39 29 33.88|J11362438+3929338|  -3.1|  -6.2|2MASS J11362438+3929338
GD 314E     | |15.014| 0.0014| 0.803| 0.406| 0.477| 0.436| 0.918| 7| 3|12 03 47.219|+60 32 08.59|J12034723+6032087|  -1.6|   4.9|2MASS J12034723+6032087
GD 314C     | |13.707| 0.0023| 0.529|-0.028| 0.328| 0.334| 0.659| 8| 4|12 04 01.598|+60 37 48.53|J12040160+6037486|   2.4|   0.3|2MASS J12040160+6037486
GD 314D     | |14.538| 0.0014| 1.339| 1.202| 0.822| 0.740| 1.575| 7| 3|12 04 02.198|+60 34 57.98|J12040220+6034580| -10.7|   5.2|2MASS J12040220+6034580
GD 314      |N|13.568| 0.0009|-0.344|-1.250|-0.149|-0.179|-0.328|14| 7|12 04 38.536|+60 32 08.08|J12043856+6032082| -53.6| -28.3|2MASS J12043856+6032082
GD 314A     | |12.435| 0.0009| 0.854| 0.441| 0.479| 0.462| 0.942|13| 7|12 05 04.878|+60 35 11.92|J12050489+6035119|  -9.3| -13.9|2MASS J12050489+6035119
GD 314B     | |10.831| 0.0006| 0.927| 0.659| 0.510| 0.468| 0.980|13| 7|12 05 18.007|+60 36 47.89|J12051802+6036479| -35.7|   6.8|2MASS J12051802+6036479
PG 1210+533B| |11.500| 0.0023| 0.648| 0.144| 0.372| 0.349| 0.723| 3| 2|12 13 18.722|+53 02 53.73|J12131872+5302538| -22.9|  -8.1|2MASS J12131872+5302538
PG 1210+533A| |14.461| 0.0035| 0.614| 0.051| 0.356| 0.359| 0.717| 3| 2|12 13 24.431|+53 02 27.15|J12132443+5302272|  -7.1|   2.8|2MASS J12132443+5302272
PG 1210+533 |N|14.135| 0.0031|-0.311|-1.205|-0.146|-0.196|-0.337| 5| 2|12 13 24.643|+53 03 57.27|J12132464+5303573|   7.9| -41.5|2MASS J12132464+5303573
SA 32-270   | |12.516| 0.0030| 0.717| 0.234| 0.403| 0.395| 0.797| 6| 3|12 55 07.557|+44 23 14.09|J12550753+4423141| -12.5|   6.0|2MASS J12550753+4423141
SA 32-271   | |11.209| 0.0006| 0.639| 0.121| 0.370| 0.353| 0.722|12| 6|12 55 08.586|+44 23 13.45|J12550857+4423134| -97.9|   1.9|2MASS J12550857+4423134
SA 32-272   |N| 8.961| 0.0020| 0.488|-0.106| 0.304| 0.308| 0.613|11| 6|12 55 10.338|+44 17 28.83|J12551032+4417289|  64.4| -70.9|2MASS J12551032+4417289
SA 32-330   |N|10.068| 0.0013| 0.665| 0.190| 0.378| 0.342| 0.721|11| 6|12 55 26.396|+44 33 35.57|J12552638+4433353| -38.0|   1.2|2MASS J12552638+4433353
SA 32-377   |N|10.630| 0.0006| 0.641| 0.101| 0.372| 0.358| 0.735|11| 6|12 55 45.397|+44 40 38.60|J12554539+4440386| -19.1|   6.7|2MASS J12554539+4440386
SA 32-379   | |11.174| 0.0008| 1.039| 0.874| 0.547| 0.495| 1.041|17| 9|12 55 50.119|+44 42 22.67|J12555011+4442226|  -0.6|  -2.0|2MASS J12555011+4442226
SA 32-282   |N|10.152| 0.0006| 0.480| 0.030| 0.283| 0.280| 0.571|11| 6|12 56 02.614|+44 26 49.25|J12560261+4426493| -12.6| -22.4|2MASS J12560261+4426493
SA 32-212   |N| 9.317| 0.0010| 1.159| 1.131| 0.609| 0.546| 1.156|15| 8|12 56 03.313|+44 15 28.14|J12560329+4415280|  -3.3|  -9.8|2MASS J12560329+4415280
SA 32-166   | |16.316| 0.0175| 0.522|-0.165| 0.409| 0.337| 0.895| 5| 3|12 56 08.942|+44 00 55.03|J12560892+4400547|  -8.6|   2.1|2MASS J12560892+4400547
SA 32-167   | |13.510| 0.0006| 0.398|-0.032| 0.241| 0.241| 0.477|10| 5|12 56 11.417|+44 00 32.42|J12561139+4400323|  -9.8|   0.8|2MASS J12561139+4400323
SA 32-105   | |13.372| 0.0016| 0.632| 0.138| 0.364| 0.341| 0.706|13| 6|12 56 29.185|+43 54 07.17|J12562918+4354071| -16.3|  10.7|2MASS J12562918+4354071
SA 32-106   | |13.266| 0.0021| 0.685| 0.135| 0.399| 0.394| 0.795|13| 6|12 56 32.000|+43 56 45.10|J12563200+4356450| -45.4|  -1.3|2MASS J12563200+4356450
SA 32-107   | |13.673| 0.0024| 0.747| 0.312| 0.421| 0.399| 0.821|13| 6|12 56 34.300|+43 54 33.99|J12563429+4354339|   7.0|  -5.0|2MASS J12563429+4354339
SA 32-220   | |13.094| 0.0005| 0.646| 0.098| 0.380| 0.363| 0.744| 7| 4|12 56 34.353|+44 15 02.31|J12563434+4415024|   0.4|  15.2|2MASS J12563434+4415024
SA 32-172   | |14.469| 0.0015| 0.642| 0.063| 0.368| 0.371| 0.737| 4| 2|12 56 35.217|+44 02 25.52|J12563522+4402254| -20.5|  11.2|2MASS J12563522+4402254
SA 32-221   | |11.429| 0.0005| 0.682| 0.235| 0.378| 0.345| 0.728|16| 9|12 56 36.794|+44 14 59.60|J12563679+4414597| -47.6| -16.2|2MASS J12563679+4414597
SA 32-109   | |11.891| 0.0011| 0.536|-0.043| 0.325| 0.329| 0.650|22|11|12 56 40.337|+43 56 33.74|J12564033+4356336| -15.4|  23.2|2MASS J12564033+4356336
SA 32-174   | |12.433| 0.0007| 0.721| 0.169| 0.431| 0.415| 0.843|10| 5|12 56 55.284|+44 05 00.64|J12565530+4405006| -86.4| -31.9|2MASS J12565530+4405006
SA 32-175   | |13.544| 0.0013| 1.063| 0.977| 0.652| 0.546| 1.197|12| 6|12 57 00.485|+44 05 02.78|J12570049+4405029|  25.6| -83.5|2MASS J12570049+4405029
GD 153      |N|13.349| 0.0040|-0.289|-1.177|-0.139|-0.180|-0.320| 4| 2|12 57 02.325|+22 01 52.66|J12570233+2201526| -28.0|-194.0|2MASS J12570233+2201526
SA 32-176   |N|10.212| 0.0013| 1.071| 0.984| 0.561| 0.501| 1.071|24|13|12 57 03.215|+44 00 33.80|J12570321+4400338|   3.0|  11.4|2MASS J12570321+4400338
SA 32-177   | |11.377| 0.0007| 0.601| 0.015| 0.358| 0.346| 0.706|25|13|12 57 17.140|+44 01 00.49|J12571716+4401004| -39.2|   2.1|2MASS J12571716+4401004
SA 32-178   | |11.313| 0.0007| 0.805| 0.463| 0.457| 0.421| 0.874|25|13|12 57 25.633|+44 02 02.82|J12572563+4402028|  59.4| -39.0|2MASS J12572563+4402028
SA 32-113   |N|10.834| 0.0022| 0.906| 0.639| 0.531| 0.461| 0.998|20|11|12 57 25.835|+43 56 32.95|J12572585+4356330| -69.3|  52.4|2MASS J12572585+4356330
SA 32-62    |N| 9.788|       | 1.086| 0.938| 0.550| 0.514| 1.068| 1| 1|12 58 30.288|+43 43 19.21|J12583028+4343192| -13.3| -15.0|2MASS J12583028+4343192
SA 32-64    | |11.831| 0.0012| 0.603| 0.017| 0.334| 0.344| 0.680| 3| 1|12 58 36.649|+43 43 35.26|J12583664+4343352| -41.5|  16.4|2MASS J12583664+4343352
PG 1314+442A| |15.383| 0.0040| 0.707| 0.162| 0.410| 0.409| 0.818| 5| 3|13 16 31.974|+43 58 14.74|J13163196+4358147| -13.7| -18.1|2MASS J13163196+4358147
PG 1314+442 |N|15.243| 0.0027|-0.135|-0.993| 0.021| 0.034| 0.053| 5| 3|13 16 33.109|+43 59 05.46|J13163310+4359054|  -7.5|  -2.5|2MASS J13163310+4359054
GD 325      |N|13.968| 0.0012| 0.032|-0.953| 0.234| 0.776| 1.005| 9| 4|13 36 01.794|+48 28 46.15|J13360209+4828472|-114.0| -38.0|2MASS J13360209+4828472
GD 325A     | |14.094| 0.0028| 0.858| 0.510| 0.502| 0.467| 0.965| 9| 4|13 36 08.189|+48 28 57.62|J13360817+4828577|  -3.2|  -4.4|2MASS J13360817+4828577
GD 325B     | |11.972| 0.0008| 0.675| 0.164| 0.404| 0.385| 0.784| 8| 4|13 36 27.776|+48 29 30.70|J13362777+4829307|  20.8| -17.0|2MASS J13362777+4829307
GD 325C     | |12.977| 0.0012| 0.469|-0.012| 0.299| 0.297| 0.587| 8| 4|13 36 31.813|+48 30 17.74|J13363181+4830177| -14.0|  -6.6|2MASS J13363181+4830177
PG 1343+578 |N|13.809|       | 0.014|-0.590| 0.065| 0.059| 0.123| 1| 1|13 45 01.414|+57 30 12.84|J13450142+5730128|  -0.9|  -8.0|2MASS J13450142+5730128
PG 1343+578A| |13.878|       | 0.591| 0.081| 0.356| 0.339| 0.696| 1| 1|13 45 04.743|+57 32 11.27|J13450474+5732112|  -4.6|   0.1|2MASS J13450474+5732112
GD 336B     | |12.985| 0.0016| 0.646| 0.155| 0.368| 0.348| 0.716|15| 8|14 31 46.324|+37 07 46.67|J14314632+3707467|  13.4|  11.2|2MASS J14314632+3707467
GD 336A     | |13.424| 0.0028| 0.359|-0.054| 0.217| 0.218| 0.436|15| 8|14 31 50.878|+37 05 17.40|J14315088+3705175|  -0.8|   6.2|2MASS J14315088+3705175
GD 336      |N|15.283| 0.0031|-0.270|-1.149|-0.147|-0.215|-0.366|15| 7|14 31 56.628|+37 06 30.07|J14315666+3706299|-105.3|  24.4|2MASS J14315666+3706299
