#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:47:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589104a83d36	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/137/4186/stars
#-nav=cat:J/AJ/137/4186&tab:{J/AJ/137/4186/stars}&key:source=J/AJ/137/4186&HTTPPRM:&&-ref=VIZ589104a83d36&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=Vmag&-out=B-V&-out=U-B&-out=V-R&-out=R-I&-out=V-I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/137/4186/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/137/4186/stars
#-order=I
#-out=Name
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-R
#-out=R-I
#-out=V-I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51374186
#Name: J/AJ/137/4186
#Title: UBVRI standards around celestial equator (Landolt, 2009)
#Table	J_AJ_137_4186_stars:
#Name: J/AJ/137/4186/stars
#Title: UBVRI photometry, accurate coordinates and proper motions of standard stars {\em(tables 2 and 5 of the paper)}
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	The Johnson V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Mean error of the mean of Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	The Johnson (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F7.4)	? Mean error of the mean of B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	The Johnson (U-B) color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F7.4)	? Mean error of the mean of U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	V-R	(F6.3)	The Johnson-Cousins (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-R	(F7.4)	? Mean error of the mean of V-R	[ucd=stat.error;phot.color;em.opt.V]
#Column	R-I	(F6.3)	The Cousins (R-I) color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	e_R-I	(F7.4)	? Mean error of the mean of R-I	[ucd=stat.error;phot.color;em.opt.R]
#Column	V-I	(F6.3)	The Johnson-Cousins (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-I	(F7.4)	? Mean error of the mean of V-I	[ucd=stat.error;phot.color;em.opt.V]
#Column	Nobs	(I3)	Number of times star was observed	[ucd=meta.number]
#Column	Nnig	(I3)	Number of nights star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	UCAC2	(A8)	The UCAC2 identifier, Cat. I/289	[ucd=meta.id]
#Column	2MASS-PSC	(A17)	The 2MASS-PSC identifier, Cat. II/246	[ucd=meta.id]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Ref	(I1)	Proper motion reference (1)	[ucd=meta.ref;pos.pm;pos.frame]
#Column	SimbadName	(a20)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|Vmag|e_Vmag|B-V|e_B-V|U-B|e_U-B|V-R|e_V-R|R-I|e_R-I|V-I|e_V-I|Nobs|Nnig|RAJ2000|DEJ2000|UCAC2|2MASS-PSC|pmRA|pmDE|Ref|SimbadName
98 626     |14.758| 0.0071| 1.406| 0.0028| 1.067| 0.0438| 0.806| 0.0092| 0.816| 0.0205| 1.624| 0.0113|  2|  1|06 51 52.394|-00 20 43.28|31649100|J06515239-0020431|    3.60|   -2.20|1|SA 98-626
98 627     |14.900| 0.0064| 0.689| 0.0170| 0.078| 0.0085| 0.428| 0.0007| 0.387| 0.0127| 0.817| 0.0127|  2|  1|06 51 53.010|-00 22 01.00|        |J06515301-0022009|    0.00|    0.00|2|SA 98-627
98 634     |14.608| 0.0042| 0.647| 0.0049| 0.123| 0.0127| 0.382| 0.0113| 0.372| 0.0177| 0.757| 0.0064|  2|  1|06 51 55.741|-00 20 55.11|31649120|J06515574-0020549|   -4.40|  -11.40|1|SA 98-634
98 642     |15.290| 0.0191| 0.571| 0.0453| 0.318| 0.0120| 0.302| 0.0198| 0.393| 0.0021| 0.697| 0.0177|  2|  1|06 51 59.018|-00 21 31.71|31649149|J06515901-0021316|    5.10|    7.30|1|SA 98-642
98 185     |10.537| 0.0010| 0.202| 0.0005| 0.114| 0.0012| 0.110| 0.0004| 0.122| 0.0006| 0.231| 0.0007| 79| 68|06 52 01.886|-00 27 21.57|31649167|J06520189-0027215|    0.50|    0.60|1|SA 98-185
98 646     |15.839|       | 1.060|       | 1.426|       | 0.583|       | 0.504|       | 1.090|       |  1|  1|06 52 02.281|-00 21 15.97|31649169|J06520228-0021158|   -4.70|  -16.50|1|SA 98-646
98 193     |10.026| 0.0005| 1.176| 0.0005| 1.152| 0.0016| 0.614| 0.0005| 0.536| 0.0004| 1.151| 0.0006| 99| 84|06 52 03.381|-00 27 18.41|31649177|J06520338-0027183|    1.20|  -11.20|1|SA 98-193
98 650     |12.271| 0.0020| 0.157| 0.0014| 0.110| 0.0041| 0.080| 0.0016| 0.086| 0.0022| 0.166| 0.0027| 31| 20|06 52 04.528|-00 19 38.29|31649181|J06520453-0019382|    3.90|   -3.40|1|SA 98-650
98 652     |14.817| 0.0113| 0.611| 0.0297| 0.126| 0.0177| 0.276| 0.0453| 0.339| 0.0240| 0.618| 0.0226|  2|  1|06 52 04.815|-00 21 55.63|31649185|J06520481-0021556|   -5.70|   -0.10|1|SA 98-652
98 653     | 9.538| 0.0007|-0.003| 0.0003|-0.102| 0.0008| 0.010| 0.0004| 0.009| 0.0005| 0.017| 0.0007|114| 98|06 52 04.954|-00 18 18.26|31649186|J06520495-0018182|    0.60|   -4.10|1|SA 98-653
98 666     |12.732| 0.0034| 0.164| 0.0028|-0.004| 0.0042| 0.091| 0.0042| 0.108| 0.0030| 0.200| 0.0048| 25| 14|06 52 09.945|-00 23 32.01|31649224|J06520994-0023320|  -13.10|    3.10|1|SA 98-666
98 670     |11.930| 0.0005| 1.357| 0.0009| 1.325| 0.0036| 0.727| 0.0004| 0.654| 0.0005| 1.381| 0.0007| 80| 66|06 52 11.514|-00 19 16.37|31649238|J06521151-0019164|  -15.30|   -8.10|1|SA 98-670
98 671     |13.385| 0.0037| 0.968| 0.0048| 0.719| 0.0108| 0.575| 0.0033| 0.494| 0.0035| 1.071| 0.0046| 27| 15|06 52 11.830|-00 18 25.30|31649239|J06521183-0018253|    2.60|  -35.10|1|SA 98-671
98 675     |13.398| 0.0026| 1.909| 0.0035| 1.936| 0.0283| 1.082| 0.0018| 1.002| 0.0018| 2.085| 0.0024| 44| 21|06 52 13.341|-00 19 40.36|31649252|J06521334-0019404|  -13.20|    3.20|1|SA 98-675
98 676     |13.068| 0.0032| 1.146| 0.0041| 0.666| 0.0107| 0.683| 0.0015| 0.673| 0.0218| 1.352| 0.0032| 17|  8|06 52 13.728|-00 19 20.15|31649256|J06521372-0019202|   -1.50|   -3.20|1|SA 98-676
98 L5      |17.800| 0.1633| 1.900| 0.3266|-0.100| 0.4491| 3.100| 0.1225| 2.600| 0.0408| 5.800| 0.1225|  6|  3|06 52 15.730|-00 19 44.40|        |J06521573-0019443|    0.00|    0.00|2|[L92b] SA 98 L5
98 682     |13.749| 0.0039| 0.632| 0.0039| 0.098| 0.0064| 0.366| 0.0017| 0.352| 0.0025| 0.717| 0.0039| 13|  7|06 52 16.504|-00 19 40.97|31649281|J06521650-0019410|   -9.30|  -12.10|1|SA 98-682
98 685     |11.954| 0.0030| 0.463| 0.0021| 0.096| 0.0028| 0.290| 0.0023| 0.280| 0.0021| 0.570| 0.0034| 22| 14|06 52 18.468|-00 20 19.51|31649293|J06521846-0020196|   -0.20|   -2.70|1|SA 98-685
98 688     |12.754| 0.0033| 0.293| 0.0024| 0.245| 0.0081| 0.158| 0.0037| 0.180| 0.0050| 0.337| 0.0074| 21| 11|06 52 18.874|-00 23 32.82|31649294|J06521887-0023328|   -2.10|   -8.10|1|SA 98-688
98 1082    |15.010| 0.0058| 0.835| 0.0139|-0.001| 0.0225| 0.485| 0.0029| 0.619| 0.0133| 1.102| 0.0162|  3|  1|06 52 20.184|-00 14 13.63|31649307|J06522018-0014136|    1.20|    3.50|1|SA 98-1082
98 1087    |14.439| 0.0040| 1.595| 0.0141| 1.284| 0.0592| 0.928| 0.0035| 0.882| 0.0049| 1.812| 0.0072| 12|  5|06 52 21.099|-00 15 50.42|31649316|J06522110-0015504|   -3.80|   -4.60|1|SA 98-1087
98 1102    |12.113| 0.0034| 0.314| 0.0026| 0.089| 0.0059| 0.193| 0.0026| 0.195| 0.0036| 0.388| 0.0052| 15|  8|06 52 27.949|-00 13 43.08|31649364|J06522795-0013431|   -1.40|   -8.10|1|SA 98-1102
98 1112    |13.975| 0.0067| 0.814| 0.0040| 0.286| 0.0152| 0.443| 0.0054| 0.431| 0.0031| 0.874| 0.0076|  5|  2|06 52 34.895|-00 15 25.84|31649400|J06523490-0015258|   16.70|  -28.20|1|SA 98-1112
98 1119    |11.878| 0.0023| 0.551| 0.0038| 0.069| 0.0042| 0.312| 0.0019| 0.299| 0.0042| 0.611| 0.0045|  7|  4|06 52 36.710|-00 14 31.61|31649408|J06523670-0014315|   -5.00|   -6.30|1|SA 98-1119
98 724     |11.118| 0.0035| 1.104| 0.0035| 0.904| 0.0052| 0.575| 0.0023| 0.527| 0.0023| 1.103| 0.0038| 12|  7|06 52 37.225|-00 19 20.39|31649411|J06523722-0019203|    5.30|   -5.40|1|SA 98-724
98 1122    |14.090| 0.0034| 0.595| 0.0060|-0.297| 0.0074| 0.376| 0.0038| 0.442| 0.0028| 0.816| 0.0046| 25| 12|06 52 37.558|-00 17 03.70|31649415|J06523755-0017036|    0.50|  -11.30|1|SA 98-1122
98 1124    |13.707| 0.0035| 0.315| 0.0043| 0.258| 0.0080| 0.173| 0.0029| 0.201| 0.0051| 0.373| 0.0057| 24| 12|06 52 38.050|-00 16 33.43|31649419|J06523804-0016333|    5.00|   -0.80|1|SA 98-1124
98 733     |12.238| 0.0034| 1.285| 0.0042| 1.087| 0.0060| 0.698| 0.0029| 0.650| 0.0022| 1.347| 0.0040| 20| 10|06 52 40.073|-00 17 14.67|31649442|J06524007-0017146|   -6.50|   -4.90|1|SA 98-733
Ru 149G    |12.829| 0.0026| 0.541| 0.0040| 0.033| 0.0042| 0.322| 0.0021| 0.322| 0.0026| 0.645| 0.0040| 18| 12|07 24 11.928|-00 31 58.11|31483548|J07241193-0031581|    3.00|   -8.10|1|[L92b] RU 149 G
Ru 149A    |14.495| 0.0066| 0.298| 0.0052| 0.118| 0.0111| 0.196| 0.0099| 0.196| 0.0085| 0.391| 0.0139| 18| 12|07 24 13.216|-00 32 53.11|31483555|J07241322-0032531|    1.40|   -8.20|1|[L92b] RU 149 A
Ru 149F    |13.471| 0.0028| 1.115| 0.0078| 1.025| 0.0223| 0.594| 0.0021| 0.538| 0.0023| 1.132| 0.0034| 19| 11|07 24 14.077|-00 31 38.69|31483561|J07241407-0031386|   -5.10|   -8.40|1|[L92b] RU 149 F
Ru 149     |13.866| 0.0022|-0.129| 0.0027|-0.779| 0.0031|-0.040| 0.0022|-0.068| 0.0062|-0.108| 0.0069| 46| 30|07 24 14.372|-00 33 04.17|31483565|J07241437-0033040|   -2.40|    0.20|1|RL 149
Ru 149D    |11.480| 0.0019|-0.037| 0.0021|-0.287| 0.0028| 0.021| 0.0012| 0.008| 0.0019| 0.029| 0.0024| 18| 11|07 24 15.378|-00 32 47.84|31483569|J07241538-0032478|   -1.50|   -1.50|1|[L92b] RU 149 D
Ru 149C    |14.425| 0.0052| 0.195| 0.0042| 0.141| 0.0111| 0.093| 0.0061| 0.127| 0.0099| 0.222| 0.0106| 18| 11|07 24 17.312|-00 32 25.78|31483580|J07241731-0032258|   -5.60|   -1.40|1|[L92b] RU 149 C
Ru 149B    |12.642| 0.0021| 0.662| 0.0034| 0.151| 0.0049| 0.374| 0.0018| 0.354| 0.0026| 0.728| 0.0028| 15| 10|07 24 17.572|-00 33 06.18|31483582|J07241757-0033061|   -9.30|  -13.60|1|[L92b] RU 149 B
Ru 149E    |13.718| 0.0064| 0.522| 0.0049|-0.007| 0.0069| 0.321| 0.0035| 0.314| 0.0066| 0.637| 0.0087| 12|  8|07 24 18.409|-00 31 18.58|31483590|J07241841-0031185|    2.40|   -5.90|1|[L92b] RU 149 E
Ru 152F    |14.564| 0.0052| 0.635| 0.0057| 0.069| 0.0096| 0.382| 0.0067| 0.315| 0.0176| 0.689| 0.0222| 15|  8|07 29 53.755|-02 04 51.80|30987589|J07295375-0204518|   -1.70|    6.20|1|[L92b] RU 152 F
Ru 152E    |12.362| 0.0014| 0.042| 0.0020|-0.086| 0.0020| 0.030| 0.0014| 0.034| 0.0023| 0.065| 0.0029| 12|  8|07 29 54.256|-02 05 30.83|30987593|J07295425-0205308|    3.60|   -0.30|1|[L92b] RU 152 E
Ru 152     |13.017| 0.0011|-0.187| 0.0017|-1.081| 0.0023|-0.059| 0.0012|-0.088| 0.0025|-0.147| 0.0027| 48| 33|07 29 58.476|-02 06 37.59|30987626|J07295847-0206375|    8.10|   -3.50|1|RL 152
Ru 152B    |15.019| 0.0046| 0.500| 0.0088| 0.022| 0.0181| 0.290| 0.0054| 0.309| 0.0175| 0.600| 0.0211| 23| 10|07 29 59.241|-02 05 57.46|30987630|J07295923-0205574|  -10.50|   -6.40|1|[L92b] RU 152 B
Ru 152A    |14.341| 0.0061| 0.543| 0.0086|-0.085| 0.0168| 0.325| 0.0051| 0.329| 0.0094| 0.654| 0.0131| 14|  8|07 30 00.483|-02 06 22.67|30987640|J07300048-0206226|   -4.40|    0.10|1|[L92b] RU 152 A
Ru 152C    |12.222| 0.0025| 0.573| 0.0031|-0.013| 0.0033| 0.342| 0.0022| 0.340| 0.0019| 0.683| 0.0031| 13|  9|07 30 02.570|-02 05 39.30|        |J07300256-0205392|   20.00|  -36.00|2|[L92b] RU 152 C
Ru 152D    |11.076| 0.0013| 0.875| 0.0016| 0.491| 0.0024| 0.473| 0.0011| 0.449| 0.0019| 0.921| 0.0019| 14| 10|07 30 06.076|-02 04 37.51|30987679|J07300607-0204374|   -2.10|   -3.10|1|[L92b] RU 152 D
99 6       |11.055| 0.0005| 1.252| 0.0010| 1.289| 0.0021| 0.650| 0.0005| 0.577| 0.0004| 1.227| 0.0007| 49| 38|07 53 33.338|-00 49 37.45|31491872|J07533333-0049374|   -5.10|   -2.40|1|SA 99-6
99 367     |11.152| 0.0007| 1.005| 0.0009| 0.832| 0.0017| 0.531| 0.0004| 0.477| 0.0005| 1.007| 0.0007| 54| 44|07 54 11.855|-00 25 35.18|31671487|J07541185-0025351|   -5.70|    2.60|1|SA 99-367
99 408     | 9.807| 0.0007| 0.402| 0.0006| 0.038| 0.0008| 0.253| 0.0006| 0.247| 0.0002| 0.500| 0.0007| 57| 46|07 55 13.012|-00 25 32.85|31671719|J07551301-0025328|  -10.80|   -6.10|1|SA 99-408
99 438     | 9.397| 0.0010|-0.156| 0.0005|-0.729| 0.0010|-0.060| 0.0004|-0.081| 0.0005|-0.142| 0.0006|148|130|07 55 54.270|-00 16 49.08|31671865|J07555426-0016491|  -18.60|   17.00|1|SA 99-438
99 447     | 9.419| 0.0006|-0.068| 0.0005|-0.220| 0.0008|-0.031| 0.0004|-0.041| 0.0004|-0.073| 0.0006|108| 97|07 56 06.686|-00 20 42.37|31671909|J07560668-0020423|  -10.80|   -5.10|1|SA 99-447
100 241    |10.140| 0.0006| 0.157| 0.0005| 0.106| 0.0009| 0.078| 0.0004| 0.085| 0.0004| 0.162| 0.0004| 67| 57|08 52 34.049|-00 39 48.96|31500551|J08523405-0039489|    2.70|   -2.60|1|SA 100-241
100 162    | 9.150| 0.0009| 1.276| 0.0008| 1.495| 0.0012| 0.649| 0.0004| 0.552| 0.0006| 1.202| 0.0006| 86| 67|08 53 14.418|-00 43 30.35|31500612|J08531441-0043303|  -10.70|  -11.60|1|SA 100-162
100 267    |13.027| 0.0069| 0.485| 0.0023|-0.062| 0.0133| 0.307| 0.0075| 0.302| 0.0040| 0.608| 0.0040|  3|  3|08 53 17.212|-00 41 29.35|31500618|J08531721-0041293|  -15.30|   16.00|1|SA 100-267
100 269    |12.350| 0.0035| 0.547| 0.0029|-0.040| 0.0150| 0.335| 0.0035| 0.331| 0.0029| 0.666| 0.0017|  3|  3|08 53 18.464|-00 41 09.81|31500621|J08531846-0041097|   -6.60|   -5.80|1|SA 100-269
100 280    |11.799| 0.0007| 0.493| 0.0007|-0.001| 0.0010| 0.295| 0.0006| 0.291| 0.0006| 0.588| 0.0009| 72| 61|08 53 35.477|-00 36 41.16|31500641|J08533547-0036411|    9.80|   -8.70|1|SA 100-280
100 394    |11.384| 0.0080| 1.317| 0.0040| 1.457| 0.0087| 0.705| 0.0023| 0.636| 0.0027| 1.341| 0.0030|  9|  5|08 53 54.515|-00 32 22.08|31500680|J08535451-0032219|   -1.40|   -1.00|1|SA 100-394
PG0918+029D|12.272| 0.0021| 1.044| 0.0030| 0.821| 0.0071| 0.575| 0.0016| 0.535| 0.0018| 1.108| 0.0018| 19| 11|09 21 21.936|+02 47 28.28|32700638|J09212193+0247282|  -15.60|  -10.10|1|[L92b] PG 0918+029 D
PG0918+029 |13.327| 0.0024|-0.271| 0.0024|-1.081| 0.0030|-0.129| 0.0019|-0.159| 0.0055|-0.288| 0.0063| 45| 27|09 21 28.217|+02 46 02.27|32700643|J09212821+0246023|  -29.90|  -23.30|1|PG 0918+029
PG0918+029B|13.963| 0.0034| 0.765| 0.0072| 0.366| 0.0159| 0.417| 0.0025| 0.370| 0.0045| 0.787| 0.0056| 20| 11|09 21 32.924|+02 47 59.08|32700647|J09213291+0247589|  -13.70|  -24.40|1|[L92b] PG 0918+029 B
PG0918+029A|14.490| 0.0033| 0.536| 0.0058|-0.032| 0.0095| 0.325| 0.0039| 0.336| 0.0076| 0.661| 0.0085| 29| 14|09 21 35.107|+02 46 19.43|32700652|J09213510+0246193|   -7.10|   -7.50|1|[L92b] PG 0918+029 A
PG0918+029C|13.537| 0.0020| 0.631| 0.0028| 0.087| 0.0048| 0.367| 0.0015| 0.357| 0.0022| 0.722| 0.0028| 21| 10|09 21 42.306|+02 46 37.07|32700657|J09214229+0246370|  -13.20|    9.30|1|[L92b] PG 0918+029 C
BD -12 2918|10.067| 0.0025| 1.501| 0.0028| 1.166| 0.0075| 1.067| 0.0039| 1.318| 0.0022| 2.385| 0.0042| 13|  9|09 31 19.370|-13 29 19.30|50047023|J09311936-1329192|  743.44|   53.53|5|BD -12 2918
PG0942-029D|13.683| 0.0009| 0.576| 0.0029| 0.064| 0.0054| 0.341| 0.0015| 0.329| 0.0039| 0.668| 0.0044| 13|  8|09 45 08.637|-03 05 54.45|30697716|J09450863-0305545|   -0.90|   11.40|1|[L92b] PG 0942-029 D
PG0942-029A|14.738| 0.0021| 0.888| 0.0021| 0.552| 0.0065| 0.563| 0.0023| 0.474| 0.0041| 1.035| 0.0050| 16|  8|09 45 09.900|-03 10 14.20|        |J09450990-0310142|  -12.00|    6.00|2|[L92b] PG 0942-029 A
PG0942-029B|14.105| 0.0022| 0.573| 0.0014| 0.014| 0.0043| 0.353| 0.0018| 0.341| 0.0036| 0.693| 0.0041| 13|  8|09 45 11.574|-03 06 58.11|30697721|J09451157-0306581|    0.90|    1.60|1|[L92b] PG 0942-029 B
PG0942-029 |14.012| 0.0022|-0.298| 0.0025|-1.177| 0.0031|-0.132| 0.0026|-0.165| 0.0058|-0.296| 0.0067| 21| 13|09 45 11.850|-03 09 21.00|        |J09451184-0309210|   28.00|  -36.00|2|PG 0942-029
PG0942-029C|14.950| 0.0024| 0.803| 0.0024| 0.338| 0.0049| 0.488| 0.0021| 0.395| 0.0045| 0.884| 0.0053| 16|  8|09 45 14.386|-03 06 40.28|30697724|J09451438-0306402|  -14.00|   -1.80|1|[L92b] PG 0942-029 C
101 315    |11.249| 0.0037| 1.153| 0.0018| 1.056| 0.0067| 0.612| 0.0016| 0.559| 0.0011| 1.172| 0.0021| 19| 11|09 54 51.298|-00 27 31.09|31683965|J09545129-0027310|   -0.90|   -0.60|1|SA 101-315
101 316    |11.552| 0.0027| 0.493| 0.0024| 0.032| 0.0036| 0.293| 0.0019| 0.291| 0.0029| 0.584| 0.0032| 17| 10|09 54 52.034|-00 18 34.51|31683967|J09545203-0018344|    3.00|  -10.30|1|SA 101-316
101 L1     |16.501| 0.0310| 0.757| 0.0340|-0.104| 0.0290| 0.421| 0.0225| 0.527| 0.0855| 0.947| 0.1070|  4|  1|09 55 29.090|-00 21 42.60|        |J09552909-0021426|    4.00|    4.00|2|[L92b] SA 101 L1
101 320    |13.823| 0.0048| 1.052| 0.0103| 0.690| 0.0181| 0.581| 0.0039| 0.561| 0.0036| 1.141| 0.0045| 11|  7|09 55 32.924|-00 22 32.72|31683987|J09553292-0022325|   -6.00|  -10.00|1|SA 101-320
101 L2     |15.770|       | 0.602|       | 0.082|       | 0.321|       | 0.304|       | 0.625|       |  1|  1|09 55 34.688|-00 18 50.10|31683992|J09553467-0018499|   -7.50|   -6.90|1|[L92b] SA 101 L2
101 404    |13.459| 0.0040| 0.996| 0.0078| 0.697| 0.0095| 0.530| 0.0049| 0.500| 0.0032| 1.029| 0.0055| 12|  7|09 55 40.673|-00 18 22.23|31683997|J09554066-0018221|    8.30|   14.90|1|SA 101-404
101 324    | 9.737| 0.0005| 1.161| 0.0008| 1.145| 0.0018| 0.591| 0.0006| 0.519| 0.0007| 1.109| 0.0010| 60| 47|09 55 56.650|-00 23 15.10|31684005|J09555665-0023149|    6.30|    1.60|1|SA 101-324
101 408    |14.785| 0.0240| 1.200| 0.0438| 1.347| 0.0170| 0.718| 0.0170| 0.603| 0.0120| 1.321| 0.0297|  2|  1|09 56 08.001|-00 12 41.28|31684013|J09560800-0012412|  -27.90|    9.90|1|SA 101-408
101 262    |14.295| 0.0045| 0.784| 0.0160| 0.297| 0.0205| 0.440| 0.0075| 0.387| 0.0100| 0.827| 0.0035|  4|  2|09 56 08.096|-00 29 50.50|31684014|J09560809-0029503|    7.20|   -7.40|1|SA 101-262
101 326    |14.923| 0.0078| 0.729| 0.0094| 0.227| 0.0128| 0.406| 0.0055| 0.375| 0.0111| 0.780| 0.0122| 13|  6|09 56 08.101|-00 27 10.94|31684015|J09560808-0027107|   -5.60|   -2.90|1|SA 101-326
101 327    |13.441| 0.0032| 1.155| 0.0057| 1.139| 0.0098| 0.717| 0.0023| 0.574| 0.0017| 1.290| 0.0028| 28| 15|09 56 08.860|-00 25 53.50|        |J09560885-0025535|    2.00|  -38.00|2|SA 101-327
101 410    |13.646| 0.0085| 0.546| 0.0014|-0.063| 0.0021| 0.298| 0.0106| 0.326| 0.0035| 0.623| 0.0064|  2|  1|09 56 09.136|-00 14 02.23|31684017|J09560913-0014021|  -15.50|    1.70|1|SA 101-410
101 413    |12.583| 0.0023| 0.983| 0.0047| 0.716| 0.0103| 0.529| 0.0033| 0.497| 0.0040| 1.025| 0.0040|  9|  6|09 56 14.009|-00 11 54.86|31684021|J09561401-0011547|  -13.50|    7.50|1|SA 101-413
101 268    |14.380| 0.0078| 1.531| 0.0199| 1.381| 0.0769| 1.040| 0.0048| 1.200| 0.0036| 2.237| 0.0045| 11|  5|09 56 17.377|-00 31 57.05|31504802|J09561738-0031569| -231.20|   20.20|1|SA 101-268
101 330    |13.723| 0.0038| 0.577| 0.0038|-0.026| 0.0051| 0.346| 0.0028| 0.338| 0.0057| 0.684| 0.0064| 28| 14|09 56 20.587|-00 27 22.12|31684030|J09562058-0027219|  -13.80|   -1.80|1|SA 101-330
101 415    |15.259| 0.0028| 0.577| 0.0247|-0.008| 0.0021| 0.346| 0.0198| 0.350| 0.0134| 0.695| 0.0332|  2|  1|09 56 23.145|-00 16 53.02|31684031|J09562313-0016529|  -13.50|   -4.90|1|SA 101-415
101 270    |13.711|       | 0.554| 0.0014| 0.055| 0.0127| 0.332| 0.0049| 0.306| 0.0071| 0.637| 0.0014|  2|  1|09 56 27.023|-00 35 44.15|31504809|J09562701-0035440|  -19.70|    1.70|1|SA 101-270
101 278    |15.494| 0.0184| 1.041| 0.0226| 0.737| 0.0269| 0.596| 0.0198| 0.548| 0.0148| 1.144| 0.0346|  2|  1|09 56 54.467|-00 29 38.39|31684049|J09565446-0029383|  -18.90|    8.20|1|SA 101-278
101 L3     |15.953| 0.0233| 0.637| 0.0184|-0.033| 0.0707| 0.396| 0.0382| 0.395| 0.0488| 0.792| 0.0870|  2|  1|09 56 55.025|-00 30 25.47|31504823|J09565501-0030254|  -13.10|    3.70|1|[L92b] SA 101 L3
101 281    |11.576| 0.0023| 0.812| 0.0013| 0.415| 0.0031| 0.453| 0.0013| 0.412| 0.0009| 0.864| 0.0013| 23| 15|09 57 05.020|-00 31 43.20|50054532|J09570501-0031431|    4.90|   -3.60|3|SA 101-281
101 L4     |16.264| 0.0170| 0.793| 0.0141| 0.362| 0.0014| 0.578| 0.0191| 0.062| 0.2638| 0.644| 0.2807|  2|  1|09 57 07.760|-00 31 24.40|        |J09570776-0031244|    0.00|    0.00|2|[L92b] SA 101 L4
101 L5     |15.928| 0.0106| 0.622| 0.0283| 0.115| 0.0863| 0.414| 0.0078| 0.305| 0.0134| 0.720| 0.0212|  2|  1|09 57 10.210|-00 30 40.30|        |J09571020-0030402|    0.00|    0.00|2|[L92b] SA 101 L5
101 421    |13.180| 0.0021| 0.507| 0.0021|-0.031| 0.0035| 0.327| 0.0021| 0.296| 0.0007| 0.623| 0.0014|  2|  1|09 57 16.107|-00 17 18.20|31684059|J09571609-0017181|   -4.50|   -3.90|1|SA 101-421
101 338    |13.788| 0.0071| 0.634| 0.0071| 0.024| 0.0042| 0.350| 0.0021| 0.340| 0.0035| 0.691| 0.0014|  2|  1|09 57 17.754|-00 21 00.34|31684063|J09571775-0021002|  -30.90|    3.10|1|SA 101-338
101 339    |14.449| 0.0099| 0.850| 0.0085| 0.501| 0.0099| 0.458| 0.0240| 0.398| 0.0042| 0.857| 0.0290|  2|  1|09 57 18.389|-00 25 01.80|31684064|J09571839-0025017|  -14.30|   -3.10|1|SA 101-339
101 424    |15.058| 0.0276| 0.764| 0.0389| 0.273| 0.0191| 0.429| 0.0226| 0.425| 0.0205| 0.855| 0.0431|  2|  1|09 57 20.263|-00 16 25.88|31684066|J09572026-0016257|   -8.10|    3.30|1|SA 101-424
101 427    |14.964| 0.0269| 0.805| 0.0297| 0.321| 0.0014| 0.484| 0.0247| 0.369| 0.0113| 0.854| 0.0368|  2|  1|09 57 26.429|-00 17 16.96|31684070|J09572642-0017169|  -25.40|   -1.60|1|SA 101-427
